"","loop","WT_1","WT_2","WT_3","TRT_1","TRT_2","TRT_3","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1",1,56,64,65,64,57,61,61.0652532782424,-8.17796613709472e-05,0.0547310743687999,0.994180171881068,0.999999433852421
"2",2,78,126,74,115,82,102,94.2226431819254,-0.000157922486771996,0.0542779793803425,0.98808972084038,0.999999433852421
"3",3,41,33,42,35,28,41,36.2948608436634,0.000629055081110103,0.0551704054432629,0.948648440455131,0.999999433852421
"4",4,104,86,69,77,68,71,78.2466642566902,0.000573015190515379,0.054485918841342,0.964571183045756,0.999999433852421
"5",5,50,46,56,46,38,51,47.5002713342399,0.000683302891573102,0.0549634274904883,0.949887113708179,0.999999433852421
"6",6,72,64,92,79,88,79,78.4380987148243,0.000710812451197142,0.0544833242059088,0.956489571650759,0.999999433852421
"7",7,23,17,10,21,19,20,17.7651286094913,0.00084656883987192,0.0555667645890877,0.90546058509592,0.999999433852421
"8",8,85,55,48,84,59,56,62.9638005721418,-0.000806594080982497,0.054713310814705,0.942926320572103,0.999999433852421
"9",9,12,10,13,14,6,12,10.8125248173212,0.00117504427356198,0.0557413403924478,0.834820186254025,0.999999433852421
"10",10,80,67,63,75,84,68,72.4567620519673,0.000253376708572128,0.0545620140805493,0.985288837431503,0.999999433852421
"11",11,7,3,5,4,4,4,4.45590923325211,0.00272880518888323,0.0559877487099956,0.450359669897299,0.999999433852421
"13",13,75,106,93,109,69,85,88.2648088605828,-7.11026912162188e-05,0.0543486041880582,0.994455523046385,0.999999433852421
"14",14,22,18,21,28,21,16,20.6897263361191,0.000521118160892098,0.0554916932533788,0.946322782990959,0.999999433852421
"15",15,93,107,81,81,97,90,91.0585496581281,0.000152923281851051,0.0543111661231691,0.992010652727128,0.999999433852421
"16",16,94,123,138,113,104,99,110.861507376879,3.78910131593651e-05,0.0540789139901483,0.999010239789242,0.999999433852421
"17",17,8,6,14,14,7,6,8.59667659980568,-0.000455200698602473,0.0557815537188956,0.925924711971455,0.999999433852421
"18",18,12,10,8,11,7,13,9.96422282294262,-0.000771191891602004,0.0557500080821587,0.884962505376131,0.999999433852421
"20",20,12,17,15,9,13,12,12.7842963957548,0.000527822043495382,0.0556808288546004,0.931474146701642,0.999999433852421
"21",21,28,20,30,22,18,21,22.7939105965395,-0.00148760804903395,0.055471909297602,0.848907575770376,0.999999433852421
"22",22,7,5,5,6,5,7,5.78716644846407,0.000510979986201026,0.0558526600783028,0.903866189524466,0.999999433852421
"23",23,59,34,81,64,55,42,53.7234532257539,0.000274270910271073,0.0548562074995701,0.981538058429294,0.999999433852421
